Unternehmensname (JP),Unternehmensname (EN),Branche,Europaaktivität,Kontaktperson (Name),Funktion / Abteilung,Standort,E-Mail-Adresse (falls verfügbar),Quelle / Link
Takeda Pharmaceutical Company Limited,Takeda Pharmaceutical Company Limited,Japanese Drug Manufacturers—Specialty & Generic,,,,,,https://disfold.com/company/takeda-pharmaceutical-company-limited/
Mitsubishi Electric Corporation,Mitsubishi Electric Corporation,Japanese Electrical Equipment & Parts,,,,,,https://disfold.com/company/mitsubishi-electric-corporation/
Daiichi Sankyo Company Ltd,Daiichi Sankyo Company Ltd,Japanese Drug Manufacturers—General,,,,,,https://disfold.com/company/daiichi-sankyo-company-ltd/
"Honda Motor Co., Ltd.","Honda Motor Co., Ltd.",Japanese Auto Manufacturers,,,,,,https://disfold.com/company/honda-motor-co-ltd/
Fujitsu Ltd,Fujitsu Ltd,Japanese Information Technology Services,,,,,,https://disfold.com/company/fujitsu-ltd/
Seven & i Holdings Co. Ltd,Seven & i Holdings Co. Ltd,Japanese Grocery Stores,,,,,,https://disfold.com/company/seven-i-holdings-co-ltd/
HOYA Corp,HOYA Corp,Japanese Medical Instruments & Supplies,,,,,,https://disfold.com/company/hoya-corp/
"JAPAN POST BANK Co.,Ltd.","JAPAN POST BANK Co.,Ltd.",Japanese Banks—Regional,,,,,,https://disfold.com/company/japan-post-bank-coltd/
EQT AB,EQT AB,Japanese Asset Management,,,,,,https://disfold.com/company/eqt-ab/
NTT Data Corp,NTT Data Corp,Japanese Information Technology Services,,,,,,https://disfold.com/company/ntt-data-corp/
NEC Corp,NEC Corp,Japanese Information Technology Services,,,,,,https://disfold.com/company/nec-corp/
DENSO Corp,DENSO Corp,Japanese Auto Parts,,,,,,https://disfold.com/company/denso-corp/
Oriental Land Co. Ltd,Oriental Land Co. Ltd,Japanese Leisure,,,,,,https://disfold.com/company/oriental-land-co-ltd/
"Daikin Industries,Ltd.","Daikin Industries,Ltd.",Japanese Building Products & Equipment,,,,,,https://disfold.com/company/daikin-industriesltd/
Toyota Industries Corp,Toyota Industries Corp,Japanese Auto Manufacturers,,,,,,https://disfold.com/company/toyota-industries-corp/
Marubeni Corp,Marubeni Corp,Japanese Conglomerates,,,,,,https://disfold.com/company/marubeni-corp/
"MS&AD Insurance Group Holdings, Inc.","MS&AD Insurance Group Holdings, Inc.",Japanese Insurance—Property & Casualty,,,,,,https://disfold.com/company/msad-insurance-group-holdings-inc/
Sumitomo Corp,Sumitomo Corp,Japanese Conglomerates,,,,,,https://disfold.com/company/sumitomo-corp/
Komatsu Ltd,Komatsu Ltd,Japanese Farm & Heavy Construction Machinery,,,,,,https://disfold.com/company/komatsu-ltd/
Bridgestone Corp,Bridgestone Corp,Japanese Auto Parts,,,,,,https://disfold.com/company/bridgestone-corp/
Japan Post Holdings Co. Ltd,Japan Post Holdings Co. Ltd,Japanese Banks—Regional,,,,,,https://disfold.com/company/japan-post-holdings-co-ltd/
"Dai-ichi Life Holdings, Inc.","Dai-ichi Life Holdings, Inc.",Japanese Insurance—Life,,,,,,https://disfold.com/company/dai-ichi-life-holdings-inc/
"Sompo Holdings, Inc.","Sompo Holdings, Inc.",Japanese Insurance—Property & Casualty,,,,,,https://disfold.com/company/sompo-holdings-inc/
Mitsui Fudosan Co. Ltd,Mitsui Fudosan Co. Ltd,Japanese Real Estate—Diversified,,,,,,https://disfold.com/company/mitsui-fudosan-co-ltd/
Murata Manufacturing Co. Ltd,Murata Manufacturing Co. Ltd,Japanese Electronic Components,,,,,,https://disfold.com/company/murata-manufacturing-co-ltd/
Aeon Co. Ltd,Aeon Co. Ltd,Japanese Department Stores,,,,,,https://disfold.com/company/aeon-co-ltd/
"Ajinomoto Co., Inc.","Ajinomoto Co., Inc.",Japanese Packaged Foods,,,,,,https://disfold.com/company/ajinomoto-co-inc/
